year,LOCAL_DAY,LOCAL_HOUR_END,METERED_MW,_FREQ_
2011,2/1/11,08,45.244,
2011,2/1/11,09,33,
2011,2/1/11,10,15.075,
2011,2/1/11,11,8.501,
2011,2/1/11,12,5.394,
2011,2/1/11,13,4.965,
2011,2/1/11,14,1.948,
2011,2/1/11,15,3.272,
2011,2/1/11,16,3.73,
2011,2/1/11,17,4.851,
2011,2/1/11,18,6.1,
2011,2/1/11,19,18.293,
2011,2/1/11,20,12.568,
2011,2/1/11,21,9.214,
2011,2/1/11,22,10.801,
2011,2/1/11,23,19.438,
2011,2/1/11,24,17.823,
2011,2/2/11,01,21.427,
2011,2/2/11,02,32.283,
2011,2/2/11,03,57.836,
2011,2/2/11,04,62.227,
2011,2/2/11,05,78.43,
2011,2/2/11,06,82.432,
2011,2/2/11,07,87.542,
2011,2/2/11,08,100.78,
2011,2/2/11,09,107.487,
2011,2/2/11,10,109.673,
2011,2/2/11,11,119.047,
2011,2/2/11,12,128.64,
2011,2/2/11,13,144.062,
2011,2/2/11,14,157.013,
2011,2/2/11,15,150.119,
2011,2/2/11,16,143.422,
2011,2/2/11,17,140.468,
2011,2/2/11,18,138.543,
2011,2/2/11,19,128.118,
2011,2/2/11,20,109.365,
2011,2/2/11,21,92.841,
2011,2/2/11,22,72.3,
2011,2/2/11,23,61.188,
2011,2/2/11,24,59.624,
2011,2/3/11,01,54.145,
2011,2/3/11,02,51.238,
2011,2/3/11,03,39.531,
2011,2/3/11,04,31.977,
2011,2/3/11,05,23.292,
2011,2/3/11,06,28.255,
2011,2/3/11,07,31.071,
2011,2/3/11,08,30.122,
2011,2/3/11,09,37.527,
2011,2/3/11,10,28.912,
2011,2/3/11,11,18.573,
2011,2/3/11,12,15.529,
2011,2/3/11,13,7.457,
2011,2/3/11,14,6.071,
2011,2/3/11,15,5.65,
2011,2/3/11,16,8.245,
2011,2/3/11,17,21.121,
2011,2/3/11,18,54.135,
2011,2/3/11,19,95.531,
2011,2/3/11,20,140.353,
2011,2/3/11,21,156.194,
2011,2/3/11,22,149.979,
2011,2/3/11,23,176.641,
2011,2/3/11,24,155.347,
2011,2/4/11,01,161.267,
2011,2/4/11,02,171.423,
2011,2/4/11,03,179.8,
2011,2/4/11,04,196.841,
2011,2/4/11,05,191.856,
2011,2/4/11,06,178.883,
2011,2/4/11,07,183.602,
2011,2/4/11,08,187.053,
2011,2/4/11,09,173.515,
2011,2/4/11,10,147.552,
2011,2/4/11,11,112.437,
2011,2/4/11,12,110.66,
2011,2/4/11,13,115.795,
2011,2/4/11,14,131.797,
2011,2/4/11,15,126.533,
2011,2/4/11,16,128.371,
2011,2/4/11,17,134.598,
2011,2/4/11,18,173.78,
2011,2/4/11,19,186.923,
2011,2/4/11,20,185.945,
2011,2/4/11,21,182.18,
2011,2/4/11,22,177.46,
2011,2/4/11,23,176.469,
2011,2/4/11,24,132.435,
2011,2/5/11,01,116.045,
2011,2/5/11,02,112.786,
2011,2/5/11,03,106.207,
2011,2/5/11,04,107.429,
2011,2/5/11,05,121.155,
2011,2/5/11,06,126.015,
2011,2/5/11,07,116.755,
2011,2/5/11,08,74.207,
2011,2/5/11,09,62.869,
2011,2/5/11,10,52.134,
2011,2/5/11,11,56.094,
2011,2/5/11,12,49.816,
2011,2/5/11,13,42.547,
2011,2/5/11,14,40.426,
2011,2/5/11,15,35.923,
2011,2/5/11,16,26.031,
2011,2/5/11,17,33.487,
2011,2/5/11,18,34.127,
2011,2/5/11,19,31.456,
2011,2/5/11,20,36.686,
2011,2/5/11,21,27.643,
2011,2/5/11,22,51.459,
2011,2/5/11,23,96.813,
2011,2/5/11,24,91.515,
2011,2/6/11,01,87.056,
2011,2/6/11,02,67.496,
2011,2/6/11,03,74.986,
2011,2/6/11,04,48.839,
2011,2/6/11,05,58.575,
2011,2/6/11,06,67.787,
2011,2/6/11,07,75.154,
2011,2/6/11,08,82.105,
2011,2/6/11,09,74.305,
2011,2/6/11,10,59.591,
2011,2/6/11,11,65.612,
2011,2/6/11,12,64.772,
2011,2/6/11,13,76.684,
2011,2/6/11,14,151.082,
2011,2/6/11,15,133.214,
2011,2/6/11,16,123.761,
2011,2/6/11,17,124.432,
2011,2/6/11,18,119.509,
2011,2/6/11,19,100.517,
2011,2/6/11,20,86.64,
2011,2/6/11,21,61.178,
2011,2/6/11,22,63.445,
